תג,מזהה אובייקט,מזהה commit,קבצים
cli-v5.3.0.25308+1613,4f4ca29845a751113170d82dac4a5835bb31769e,4f4ca29845a751113170d82dac4a5835bb31769e,3545
cli-v5.3.1.25308+1659,1618d1e828d1c07fa8974bc0b2f88893304cbc34,1618d1e828d1c07fa8974bc0b2f88893304cbc34,3545
cli-v6.0.0.26032+2011,62f29ac21a8ab7b78610d14b259642bd9e76f957,62f29ac21a8ab7b78610d14b259642bd9e76f957,3853
cli-v6.0.0.26032+2022,d0b858c569a448bd9876d0aef6ffc2fa3a581827,d0b858c569a448bd9876d0aef6ffc2fa3a581827,3853
cli-v6.0.0.26032+2049,db3ce9d5197aa00b50f0c943a5ecc2a7961d10bd,db3ce9d5197aa00b50f0c943a5ecc2a7961d10bd,3853
cli-v6.0.0.26032+2110,4f8185cff359cf044b4d98541e470cb8d75bb835,4f8185cff359cf044b4d98541e470cb8d75bb835,3853
cli-v6.0.0.26032+2111,a8218187e6aa30fa0e84fecf25a82b9e47845776,a8218187e6aa30fa0e84fecf25a82b9e47845776,3853
cli-v6.0.0.26032+2145,03bd87d017c4c1e6de6a744de09f5354d0008589,03bd87d017c4c1e6de6a744de09f5354d0008589,3853
cli-v6.1.0.26047+2255,9c28ee9596117bcf787b908d7cb2bbc6f53513a6,9c28ee9596117bcf787b908d7cb2bbc6f53513a6,3864
cli-v6.2.0.26090+1601,54c0f77cb6985cfb26a10ac7742dd138521b6a8b,54c0f77cb6985cfb26a10ac7742dd138521b6a8b,3907
cli-v6.2.0.26090+1952,6f21e115a9ce8d092aceffc4a5f183833f34031b,6f21e115a9ce8d092aceffc4a5f183833f34031b,3907
cli-v6.2.0.26090+1953,4d0fdbedbeb7d90ae189cad5ae0df4cd0df0f024,4d0fdbedbeb7d90ae189cad5ae0df4cd0df0f024,3907
cli-v6.2.0.26090+2006,a6c64151db81a9527fd60f33cb065056331e5d41,a6c64151db81a9527fd60f33cb065056331e5d41,3910
cli-v6.2.0.26091+2015,7824529fb7a3a0590c0000fe2670f576b75b16ec,7824529fb7a3a0590c0000fe2670f576b75b16ec,3915
cli-v6.2.1.26091+2148,4950cf2023412fe0eb38f194e4ffc92a9f16ff38,4950cf2023412fe0eb38f194e4ffc92a9f16ff38,3912
cli-v6.3.0.26091+2238,286f48330fdfccb8d88f3160fb1ae068c8a73c15,286f48330fdfccb8d88f3160fb1ae068c8a73c15,3913
cli-v6.3.0.26092+2232,62f291ece56065b5576a3da7e7d2d784d30b5e9f,62f291ece56065b5576a3da7e7d2d784d30b5e9f,3915
cli-v6.3.0.26092+2248,79db5bb8ffba2240a06202a961961cfd2d557f0d,79db5bb8ffba2240a06202a961961cfd2d557f0d,3915
cli-v6.3.0.26095+0830,87fc928a708fd715b5ca9a05a6ac69a5642a732f,87fc928a708fd715b5ca9a05a6ac69a5642a732f,3916
cli-v6.4.0.26100+0515,35e0dadabb8e320bfa4b045625a6c67c82260648,35e0dadabb8e320bfa4b045625a6c67c82260648,3922
v0.5,bc8e6d7850ac41e38771ee43619695772992544e,bc8e6d7850ac41e38771ee43619695772992544e,192
v1.0,a761a8fb0b690a52c2736b7776512c51f4005aff,a761a8fb0b690a52c2736b7776512c51f4005aff,164
v2.0,52370fc330a5ec0ca0efff3a6723635d01610486,52370fc330a5ec0ca0efff3a6723635d01610486,253
v3.0-beta,b7edd0bfefa3ec7894cc14bf3fa23c0c1555b86d,b7edd0bfefa3ec7894cc14bf3fa23c0c1555b86d,309
v4.0-dev,4a9f4436c47dc98bbadc7902f08016e8866025fa,4a9f4436c47dc98bbadc7902f08016e8866025fa,13
v4.0-stable,bac6c7fefb8361535ee4269bb4c17dba7ce20729,bac6c7fefb8361535ee4269bb4c17dba7ce20729,2886
v4.1,0e9b38f4dd8aa96b3a1a4cfe0ed540ae0527b876,0e9b38f4dd8aa96b3a1a4cfe0ed540ae0527b876,2962
v4.2,fff854ca9bae25bca59be8a5e85a8bb3cc2d984d,fff854ca9bae25bca59be8a5e85a8bb3cc2d984d,3075
v4.3,9aa29ce9f8ccf716149cce939b7871624a37dc8a,9aa29ce9f8ccf716149cce939b7871624a37dc8a,3129
v4.4,1b04eff3586c8c571a355368c0e50d9cbcd05425,1b04eff3586c8c571a355368c0e50d9cbcd05425,3227
v4.5,cbe2580a9ff09b672390b5eb817ac6420feb1307,cbe2580a9ff09b672390b5eb817ac6420feb1307,3778
v4.5-beta,fd8d61d5170372c1c0a9931e0f136f0134fbccf0,fd8d61d5170372c1c0a9931e0f136f0134fbccf0,2788
v4.5-rc,407a5e715a8495de879c226ca370d96ce6d36145,407a5e715a8495de879c226ca370d96ce6d36145,3754
v4.6.1,534fb80f9aced388fd708b2625202aad18e342e8,534fb80f9aced388fd708b2625202aad18e342e8,4801
v4.6.10,745591e513128cadbbd093e9057505e2f7be039b,745591e513128cadbbd093e9057505e2f7be039b,4950
v4.6.11,8b4534e5895a1e096ee10b22eada751935c5d0cf,8b4534e5895a1e096ee10b22eada751935c5d0cf,4968
v4.6.12,512702478630f9bc28b270cc2729524366b3fb6a,512702478630f9bc28b270cc2729524366b3fb6a,5064
v4.6.13,e6de25bfb5e862672efd1d8e0b34f028b5991b84,e6de25bfb5e862672efd1d8e0b34f028b5991b84,5080
v4.6.14,0b35faa2075fd2efb51313f5a1861ea06f4e2c19,0b35faa2075fd2efb51313f5a1861ea06f4e2c19,5081
v4.6.15,07283b26086413851c762716794b17c7472e1a86,07283b26086413851c762716794b17c7472e1a86,5083
v4.6.16,ea8a878dfdcfb70bd2897101575e0c147f27a5b4,ea8a878dfdcfb70bd2897101575e0c147f27a5b4,5084
v4.6.17,931282cbc9091bfb6fe26089df0ffdf6c516dd84,931282cbc9091bfb6fe26089df0ffdf6c516dd84,5097
v4.6.18,28d0db6fb94cabe3268d2815a938377cada47bb3,28d0db6fb94cabe3268d2815a938377cada47bb3,5102
v4.6.19,a6f2ce8af050da970784f244ecaa75f48d7e630a,a6f2ce8af050da970784f244ecaa75f48d7e630a,5103
v4.6.2,bf45832049bed70652bf49f210fed5b2efa0569e,bf45832049bed70652bf49f210fed5b2efa0569e,4806
v4.6.20,b0688f4c7b7a67f202fea625737338f40b91bb4e,b0688f4c7b7a67f202fea625737338f40b91bb4e,5097
v4.6.21,ceffa08c29c6c9317c255e64bd2a6820912724aa,ceffa08c29c6c9317c255e64bd2a6820912724aa,5190
v4.6.22,28f9d352746b9f72d71a5091d777373b18fd686f,28f9d352746b9f72d71a5091d777373b18fd686f,5190
v4.6.23,e0c0d066395bded353d066de57d3e82f7306a4f0,e0c0d066395bded353d066de57d3e82f7306a4f0,5193
